,Train Data (%),MaxDepth,DecTestAcc,DecValAcc,DecF1Score
0,10,6,0.6611111111111111,0.7111111111111111,0.655648248196868
1,20,6,0.7388888888888889,0.7611111111111111,0.7377565544301787
2,30,6,0.7555555555555555,0.7555555555555555,0.7514319827292556
3,40,6,0.7555555555555555,0.7555555555555555,0.752508670094877
4,50,6,0.8277777777777777,0.8,0.8172339507730323
5,60,6,0.7666666666666667,0.7333333333333333,0.7677437825931006
6,70,6,0.8222222222222222,0.7666666666666667,0.8106007944962306
7,80,6,0.8444444444444444,0.8333333333333334,0.8363323875555585
8,90,6,0.85,0.8444444444444444,0.842703886152162
9,100,6,0.7944444444444444,0.7333333333333333,0.7889953723262587
10,10,8,0.6111111111111112,0.6777777777777778,0.5934961116006723
11,20,8,0.75,0.75,0.7455952380952381
12,30,8,0.7666666666666667,0.7833333333333333,0.7671646081382388
13,40,8,0.7944444444444444,0.7944444444444444,0.787132567724673
14,50,8,0.8388888888888889,0.8166666666666667,0.834967419397946
15,60,8,0.8333333333333334,0.8555555555555555,0.8214186421339298
16,70,8,0.8722222222222222,0.8611111111111112,0.8655689966816876
17,80,8,0.85,0.8277777777777777,0.8423162889812088
18,90,8,0.8722222222222222,0.8555555555555555,0.86910692610533
19,100,8,0.8722222222222222,0.8055555555555556,0.8611450896745014
20,10,10,0.6722222222222223,0.7111111111111111,0.6600048796086042
21,20,10,0.75,0.75,0.7472223937511984
22,30,10,0.75,0.7777777777777778,0.745047883815106
23,40,10,0.7944444444444444,0.8,0.7916034610189362
24,50,10,0.8388888888888889,0.8222222222222222,0.8278843222153232
25,60,10,0.8444444444444444,0.8277777777777777,0.8348971509854103
26,70,10,0.8666666666666667,0.8555555555555555,0.8620365775200213
27,80,10,0.8888888888888888,0.8555555555555555,0.8825466567909608
28,90,10,0.9,0.8611111111111112,0.8978197892338023
29,100,10,0.8888888888888888,0.7944444444444444,0.8750031175252481
30,10,12,0.6055555555555555,0.6666666666666666,0.5936529554424277
31,20,12,0.7611111111111111,0.7166666666666667,0.7588634181969767
32,30,12,0.7555555555555555,0.7611111111111111,0.7473672402780562
33,40,12,0.7944444444444444,0.7888888888888889,0.7897107832419396
34,50,12,0.85,0.7833333333333333,0.8407465604703207
35,60,12,0.8666666666666667,0.8388888888888889,0.8608382443068672
36,70,12,0.9,0.8388888888888889,0.8944434431874851
37,80,12,0.8944444444444445,0.8555555555555555,0.8866022061684911
38,90,12,0.8722222222222222,0.8611111111111112,0.8680533693948329
39,100,12,0.8944444444444445,0.8166666666666667,0.8808758485381027
40,10,14,0.6388888888888888,0.7055555555555556,0.622470208696324
41,20,14,0.7666666666666667,0.7333333333333333,0.7582767724352164
42,30,14,0.7777777777777778,0.7666666666666667,0.7748678029205412
43,40,14,0.7833333333333333,0.7722222222222223,0.7781404571812891
44,50,14,0.85,0.8277777777777777,0.8383182221381285
45,60,14,0.85,0.8611111111111112,0.8457603933764306
46,70,14,0.8888888888888888,0.8444444444444444,0.8835972405970912
47,80,14,0.8611111111111112,0.8277777777777777,0.8493072765441185
48,90,14,0.9,0.8777777777777778,0.894680449932245
49,100,14,0.9111111111111111,0.7944444444444444,0.9010212125629614
50,10,16,0.65,0.7111111111111111,0.6422125020643001
51,20,16,0.75,0.7444444444444445,0.7455519583176704
52,30,16,0.7555555555555555,0.7777777777777778,0.7441935096563046
53,40,16,0.8166666666666667,0.7944444444444444,0.8069973328807535
54,50,16,0.8611111111111112,0.8333333333333334,0.8513152548160144
55,60,16,0.8666666666666667,0.8611111111111112,0.8579353772075409
56,70,16,0.8888888888888888,0.85,0.8894774825130989
57,80,16,0.8722222222222222,0.8333333333333334,0.8652938530175867
58,90,16,0.8944444444444445,0.85,0.8892925312638928
59,100,16,0.8888888888888888,0.8111111111111111,0.878979908979909
